combo,id,rep,expect_dodge,dodged,latency_ms,min_dist_m,spec_miss_m,aim_err_m,off_target,steady,success,error,note,skipped,window_s,needed_window_s,spawn_dead_s,miss_along_m,miss_cross_m,miss_vert_m,lead_along_m,lead_cross_m,lead_vert_m,ball_speed_mps,t_flight_assumed_s,flight_to_ca_s,tca_s,trigger_miss_m,first_det_range_m,track_updates,track_age_s,n_hypotheses
baseline,H14,0,True,True,20.0,0.135,0.0,0.135,False,True,False,False,dodged but min_dist 0.14 <= hit_radius,False,0.0,1.3,0.275,-0.128,0.044,0.004,0.044,-0.002,-0.035,13.628,1.0,0.997,0.38,0.042,7.85,3,0.167,1
baseline,H14,1,True,True,18.0,0.117,0.0,0.117,False,True,False,False,dodged but min_dist 0.12 <= hit_radius,False,0.0,1.3,0.286,-0.043,0.032,-0.104,0.175,0.06,-0.05,14.0,1.0,1.008,0.44,0.297,7.98,3,0.17,1
baseline,H14,2,True,True,18.0,0.138,0.0,0.138,False,True,False,False,dodged but min_dist 0.14 <= hit_radius,False,0.0,1.3,0.247,0.091,0.03,-0.1,0.171,0.047,0.0,13.927,1.0,1.018,0.39,0.553,7.899,3,0.168,1
baseline,H14,3,True,True,18.0,0.138,0.0,0.138,False,True,False,False,dodged but min_dist 0.14 <= hit_radius,False,0.0,1.3,0.28,-0.121,0.055,-0.035,0.095,0.019,-0.045,14.15,1.0,0.995,0.41,0.565,7.919,3,0.139,1
baseline,H14,4,True,True,16.0,0.093,0.0,0.093,False,True,False,False,dodged but min_dist 0.09 <= hit_radius,False,0.0,1.3,0.226,0.045,0.041,-0.071,0.059,0.031,-0.031,14.076,1.0,1.006,0.23,0.292,7.92,5,0.292,1
baseline,H14,5,True,True,17.0,0.119,0.0,0.119,False,True,False,False,dodged but min_dist 0.12 <= hit_radius,False,0.0,1.3,0.25,-0.053,0.053,-0.092,0.127,0.04,-0.063,14.0,1.0,1.004,0.39,0.454,7.788,3,0.154,1
baseline,H14,6,True,True,19.0,0.115,0.0,0.115,False,True,False,False,dodged but min_dist 0.11 <= hit_radius,False,0.0,1.3,0.274,0.058,0.06,0.079,0.357,-0.006,-0.017,13.916,1.0,0.98,0.36,0.441,7.831,4,0.254,1
baseline,H14,7,True,True,18.0,0.127,0.0,0.127,False,True,False,False,dodged but min_dist 0.13 <= hit_radius,False,0.0,1.3,0.247,0.04,0.035,-0.115,0.091,0.055,-0.061,14.0,1.0,1.008,0.44,0.574,7.887,3,0.166,1
baseline,H14,8,True,True,20.0,0.055,0.0,0.055,False,True,False,False,dodged but min_dist 0.06 <= hit_radius,False,0.0,1.3,0.234,-0.023,0.046,-0.02,0.076,-0.009,-0.044,14.0,1.0,0.993,0.33,0.526,7.959,3,0.168,1
baseline,H14,9,True,True,17.0,0.105,0.0,0.105,False,True,False,False,dodged but min_dist 0.11 <= hit_radius,False,0.0,1.3,0.293,0.023,0.044,-0.093,0.164,0.019,-0.023,14.15,1.0,1.016,0.26,0.503,7.809,4,0.249,1
