combo,id,rep,expect_dodge,dodged,latency_ms,min_dist_m,spec_miss_m,aim_err_m,off_target,steady,success,error,note,skipped,window_s,needed_window_s,spawn_dead_s,miss_along_m,miss_cross_m,miss_vert_m,lead_along_m,lead_cross_m,lead_vert_m,ball_speed_mps,t_flight_assumed_s,flight_to_ca_s,tca_s,trigger_miss_m,first_det_range_m,track_updates,track_age_s,n_hypotheses
baseline,H20,0,True,True,19.0,0.236,0.0,0.236,False,True,False,False,dodged but min_dist 0.24 <= hit_radius,False,0.0,1.7,0.273,-0.02,-0.04,-0.232,0.065,0.086,-0.198,20.108,1.4,1.403,0.69,0.473,20.853,5,0.32,1
baseline,H20,1,True,True,19.0,0.199,0.0,0.199,False,True,False,False,dodged but min_dist 0.20 <= hit_radius,False,0.0,1.7,0.313,0.125,-0.107,0.113,-0.098,0.062,0.147,19.892,1.4,1.404,0.76,0.385,20.865,4,0.24,1
baseline,H20,2,True,True,20.0,0.35,0.0,0.35,False,True,True,False,clean dodge,False,0.0,1.7,0.29,0.039,0.307,0.164,0.308,-0.02,0.171,20.0,1.4,1.399,0.88,0.675,20.709,3,0.169,1
baseline,H20,3,True,True,19.0,0.133,0.0,0.133,False,True,False,False,dodged but min_dist 0.13 <= hit_radius,False,0.0,1.7,0.275,0.123,-0.048,-0.018,-0.053,-0.08,0.003,20.0,1.4,1.4,0.69,0.202,20.689,5,0.329,1
baseline,H20,4,True,True,18.0,0.207,0.0,0.207,False,True,False,False,dodged but min_dist 0.21 <= hit_radius,False,0.0,1.7,0.259,-0.083,0.129,-0.14,0.098,-0.087,-0.153,19.892,1.4,1.396,0.6,0.592,20.86,5,0.406,2
baseline,H20,5,True,True,20.0,0.501,0.0,0.501,False,True,True,False,clean dodge,False,0.0,1.7,0.294,-0.257,0.35,-0.25,0.351,-0.072,-0.304,20.109,1.4,1.39,0.8,0.708,20.914,3,0.165,1
baseline,H20,6,True,True,21.0,0.269,0.0,0.269,False,True,False,False,dodged but min_dist 0.27 <= hit_radius,False,0.0,1.7,0.276,0.009,-0.145,0.227,-0.153,-0.119,0.192,20.107,1.4,1.391,0.81,0.72,20.689,3,0.167,1
baseline,H20,7,True,True,21.0,0.281,0.0,0.281,False,True,False,False,dodged but min_dist 0.28 <= hit_radius,False,0.0,1.7,0.285,0.049,0.163,0.223,0.585,0.089,0.055,20.109,1.4,1.372,0.69,0.557,20.67,5,0.335,1
baseline,H20,8,True,True,18.0,0.387,0.0,0.387,False,True,True,False,clean dodge,False,0.0,1.7,0.28,-0.213,-0.138,-0.291,0.008,0.222,-0.298,19.895,1.4,1.397,0.98,0.289,20.753,3,0.169,1
baseline,H20,9,True,True,20.0,0.274,0.0,0.274,False,True,False,False,dodged but min_dist 0.27 <= hit_radius,False,0.0,1.7,0.223,-0.186,0.186,-0.075,0.207,0.027,-0.164,19.647,1.4,1.39,0.7,0.29,20.753,4,0.33,2
