dodge_idx,t_since_cmd_s,escape_m,ideal_m,tca_s,miss_m
1,0.05,0.0100,0.0750,0.080,0.634
1,0.10,0.0252,0.1500,0.080,0.634
1,0.15,0.0398,0.2250,0.080,0.634
1,0.20,0.0638,0.3000,0.080,0.634
1,0.30,0.1169,0.4500,0.080,0.634
1,0.40,0.1953,0.6000,0.080,0.634
1,0.60,0.4129,0.9000,0.080,0.634
1,1.00,1.0057,1.5000,0.080,0.634
2,0.05,0.0114,0.0750,0.090,0.675
2,0.10,0.0231,0.1500,0.090,0.675
2,0.15,0.0402,0.2250,0.090,0.675
2,0.20,0.0579,0.3000,0.090,0.675
2,0.30,0.1101,0.4500,0.090,0.675
2,0.40,0.1785,0.6000,0.090,0.675
2,0.60,0.3429,0.9000,0.090,0.675
2,1.00,0.7874,1.5000,0.090,0.675
3,0.05,0.0056,0.0750,0.080,0.479
3,0.10,0.0101,0.1500,0.080,0.479
3,0.15,0.0162,0.2250,0.080,0.479
3,0.20,0.0245,0.3000,0.080,0.479
3,0.30,0.0484,0.4500,0.080,0.479
3,0.40,0.0785,0.6000,0.080,0.479
3,0.60,0.1797,0.9000,0.080,0.479
3,1.00,0.6561,1.5000,0.080,0.479
4,0.05,0.0065,0.0750,0.070,0.376
4,0.10,0.0173,0.1500,0.070,0.376
4,0.15,0.0299,0.2250,0.070,0.376
4,0.20,0.0453,0.3000,0.070,0.376
4,0.30,0.0914,0.4500,0.070,0.376
4,0.40,0.1504,0.6000,0.070,0.376
4,0.60,0.3038,0.9000,0.070,0.376
4,1.00,0.8096,1.5000,0.070,0.376
5,0.05,0.0055,0.0750,0.060,0.551
5,0.10,0.0110,0.1500,0.060,0.551
5,0.15,0.0191,0.2250,0.060,0.551
5,0.20,0.0277,0.3000,0.060,0.551
5,0.30,0.0492,0.4500,0.060,0.551
5,0.40,0.0785,0.6000,0.060,0.551
5,0.60,0.1762,0.9000,0.060,0.551
5,1.00,0.6721,1.5000,0.060,0.551
6,0.05,0.0055,0.0750,0.060,0.270
6,0.10,0.0109,0.1500,0.060,0.270
6,0.15,0.0198,0.2250,0.060,0.270
6,0.20,0.0342,0.3000,0.060,0.270
6,0.30,0.0653,0.4500,0.060,0.270
6,0.40,0.1141,0.6000,0.060,0.270
6,0.60,0.2583,0.9000,0.060,0.270
6,1.00,0.8397,1.5000,0.060,0.270
7,0.05,0.0076,0.0750,0.110,0.620
7,0.10,0.0200,0.1500,0.110,0.620
7,0.15,0.0366,0.2250,0.110,0.620
7,0.20,0.0583,0.3000,0.110,0.620
7,0.30,0.1111,0.4500,0.110,0.620
7,0.40,0.1896,0.6000,0.110,0.620
7,0.60,0.3726,0.9000,0.110,0.620
7,1.00,0.8833,1.5000,0.110,0.620
8,0.05,0.0058,0.0750,0.110,0.466
8,0.10,0.0132,0.1500,0.110,0.466
8,0.15,0.0249,0.2250,0.110,0.466
8,0.20,0.0364,0.3000,0.110,0.466
8,0.30,0.0766,0.4500,0.110,0.466
8,0.40,0.1316,0.6000,0.110,0.466
8,0.60,0.3194,0.9000,0.110,0.466
8,1.00,0.9711,1.5000,0.110,0.466
