episode,ball,scenario,rep,t_dodge_s,actual_min_m,counterfactual_min_m,delta_m,verdict,fit_resid_m,n_pre,n_post
1,ball_S08_r0_1786094005,S08,0,120.054,0.1788,0.2023,-0.0234,DODGE_FAILED,0.0067,12,81
2,ball_S08_r1_1786094016,S08,1,131.429,0.2817,0.2012,0.0805,DODGE_FAILED,0.0109,12,291
3,ball_S08_r2_1786094032,S08,2,147.007,0.6400,0.4455,0.1945,WOULD_HAVE_MISSED,0.0121,12,284
4,ball_S14_r0_1786094047,S14,0,161.045,0.2226,0.1629,0.0597,DODGE_FAILED,0.0123,12,289
5,ball_S14_r1_1786094063,S14,1,176.569,0.2076,0.2139,-0.0062,DODGE_FAILED,0.0158,13,287
6,ball_S14_r2_1786094075,S14,2,188.299,0.2303,0.1601,0.0702,DODGE_FAILED,0.0072,12,298
