dodge_idx,t_since_cmd_s,escape_m,ideal_m,tca_s,miss_m
1,0.05,-0.0008,0.0750,0.690,0.473
1,0.10,-0.0015,0.1500,0.690,0.473
1,0.15,-0.0021,0.2250,0.690,0.473
1,0.20,-0.0018,0.3000,0.690,0.473
1,0.30,0.0031,0.4500,0.690,0.473
1,0.40,0.0191,0.6000,0.690,0.473
1,0.60,0.1029,0.9000,0.690,0.473
1,1.00,0.5891,1.5000,0.690,0.473
2,0.05,0.0016,0.0750,0.760,0.385
2,0.10,0.0029,0.1500,0.760,0.385
2,0.15,0.0049,0.2250,0.760,0.385
2,0.20,0.0071,0.3000,0.760,0.385
2,0.30,0.0164,0.4500,0.760,0.385
2,0.40,0.0325,0.6000,0.760,0.385
2,0.60,0.1079,0.9000,0.760,0.385
2,1.00,0.5217,1.5000,0.760,0.385
3,0.05,0.0008,0.0750,0.880,0.675
3,0.10,0.0016,0.1500,0.880,0.675
3,0.15,0.0027,0.2250,0.880,0.675
3,0.20,0.0043,0.3000,0.880,0.675
3,0.30,0.0106,0.4500,0.880,0.675
3,0.40,0.0242,0.6000,0.880,0.675
3,0.60,0.0914,0.9000,0.880,0.675
3,1.00,0.5150,1.5000,0.880,0.675
4,0.05,-0.0004,0.0750,0.690,0.202
4,0.10,-0.0006,0.1500,0.690,0.202
4,0.15,-0.0010,0.2250,0.690,0.202
4,0.20,-0.0012,0.3000,0.690,0.202
4,0.30,0.0002,0.4500,0.690,0.202
4,0.40,0.0070,0.6000,0.690,0.202
4,0.60,0.0571,0.9000,0.690,0.202
4,1.00,0.4407,1.5000,0.690,0.202
5,0.05,-0.0004,0.0750,0.600,0.592
5,0.10,-0.0006,0.1500,0.600,0.592
5,0.15,-0.0007,0.2250,0.600,0.592
5,0.20,0.0002,0.3000,0.600,0.592
5,0.30,0.0077,0.4500,0.600,0.592
5,0.40,0.0257,0.6000,0.600,0.592
5,0.60,0.1150,0.9000,0.600,0.592
5,1.00,0.6231,1.5000,0.600,0.592
6,0.05,-0.0002,0.0750,0.800,0.708
6,0.10,-0.0002,0.1500,0.800,0.708
6,0.15,0.0001,0.2250,0.800,0.708
6,0.20,0.0018,0.3000,0.800,0.708
6,0.30,0.0091,0.4500,0.800,0.708
6,0.40,0.0284,0.6000,0.800,0.708
6,0.60,0.1143,0.9000,0.800,0.708
6,1.00,0.6065,1.5000,0.800,0.708
7,0.05,0.0009,0.0750,0.810,0.720
7,0.10,0.0019,0.1500,0.810,0.720
7,0.15,0.0033,0.2250,0.810,0.720
7,0.20,0.0054,0.3000,0.810,0.720
7,0.30,0.0137,0.4500,0.810,0.720
7,0.40,0.0302,0.6000,0.810,0.720
7,0.60,0.1016,0.9000,0.810,0.720
7,1.00,0.5307,1.5000,0.810,0.720
8,0.05,0.0003,0.0750,0.690,0.557
8,0.10,0.0006,0.1500,0.690,0.557
8,0.15,0.0010,0.2250,0.690,0.557
8,0.20,0.0017,0.3000,0.690,0.557
8,0.30,0.0052,0.4500,0.690,0.557
8,0.40,0.0146,0.6000,0.690,0.557
8,0.60,0.0694,0.9000,0.690,0.557
8,1.00,0.4498,1.5000,0.690,0.557
9,0.05,-0.0016,0.0750,0.980,0.289
9,0.10,-0.0029,0.1500,0.980,0.289
9,0.15,-0.0041,0.2250,0.980,0.289
9,0.20,-0.0047,0.3000,0.980,0.289
9,0.30,-0.0012,0.4500,0.980,0.289
9,0.40,0.0095,0.6000,0.980,0.289
9,0.60,0.0887,0.9000,0.980,0.289
9,1.00,0.5547,1.5000,0.980,0.289
10,0.05,-0.0003,0.0750,0.700,0.290
10,0.10,-0.0005,0.1500,0.700,0.290
10,0.15,-0.0005,0.2250,0.700,0.290
10,0.20,0.0001,0.3000,0.700,0.290
10,0.30,0.0056,0.4500,0.700,0.290
10,0.40,0.0212,0.6000,0.700,0.290
10,0.60,0.1013,0.9000,0.700,0.290
10,1.00,0.5931,1.5000,0.700,0.290
