dodge_idx,t_since_cmd_s,escape_m,ideal_m,tca_s,miss_m
1,0.05,0.0019,0.0750,0.980,0.091
1,0.10,0.0027,0.1500,0.980,0.091
1,0.15,0.0050,0.2250,0.980,0.091
1,0.20,0.0075,0.3000,0.980,0.091
1,0.30,0.0148,0.4500,0.980,0.091
1,0.40,0.0303,0.6000,0.980,0.091
1,0.60,0.1066,0.9000,0.980,0.091
1,1.00,0.5803,1.5000,0.980,0.091
2,0.05,-0.0005,0.0750,1.020,0.246
2,0.10,-0.0009,0.1500,1.020,0.246
2,0.15,-0.0008,0.2250,1.020,0.246
2,0.20,-0.0001,0.3000,1.020,0.246
2,0.30,0.0065,0.4500,1.020,0.246
2,0.40,0.0242,0.6000,1.020,0.246
2,0.60,0.1112,0.9000,1.020,0.246
2,1.00,0.6174,1.5000,1.020,0.246
3,0.05,0.0024,0.0750,1.080,0.715
3,0.10,0.0047,0.1500,1.080,0.715
3,0.15,0.0067,0.2250,1.080,0.715
3,0.20,0.0089,0.3000,1.080,0.715
3,0.30,0.0183,0.4500,1.080,0.715
3,0.40,0.0340,0.6000,1.080,0.715
3,0.60,0.1022,0.9000,1.080,0.715
3,1.00,0.5195,1.5000,1.080,0.715
4,0.05,0.0018,0.0750,0.930,0.488
4,0.10,0.0027,0.1500,0.930,0.488
4,0.15,0.0037,0.2250,0.930,0.488
4,0.20,0.0062,0.3000,0.930,0.488
4,0.30,0.0124,0.4500,0.930,0.488
4,0.40,0.0265,0.6000,0.930,0.488
4,0.60,0.0986,0.9000,0.930,0.488
4,1.00,0.5550,1.5000,0.930,0.488
5,0.05,-0.0009,0.0750,0.990,0.690
5,0.10,-0.0027,0.1500,0.990,0.690
5,0.15,-0.0040,0.2250,0.990,0.690
5,0.20,-0.0047,0.3000,0.990,0.690
5,0.30,-0.0020,0.4500,0.990,0.690
5,0.40,0.0109,0.6000,0.990,0.690
5,0.60,0.0858,0.9000,0.990,0.690
5,1.00,0.5077,1.5000,0.990,0.690
6,0.05,-0.0010,0.0750,0.970,0.379
6,0.10,-0.0017,0.1500,0.970,0.379
6,0.15,-0.0021,0.2250,0.970,0.379
6,0.20,-0.0014,0.3000,0.970,0.379
6,0.30,0.0050,0.4500,0.970,0.379
6,0.40,0.0218,0.6000,0.970,0.379
6,0.60,0.1044,0.9000,0.970,0.379
6,1.00,0.5555,1.5000,0.970,0.379
7,0.05,0.0007,0.0750,0.890,0.508
7,0.10,0.0014,0.1500,0.890,0.508
7,0.15,0.0024,0.2250,0.890,0.508
7,0.20,0.0043,0.3000,0.890,0.508
7,0.30,0.0112,0.4500,0.890,0.508
7,0.40,0.0248,0.6000,0.890,0.508
7,0.60,0.0867,0.9000,0.890,0.508
7,1.00,0.4867,1.5000,0.890,0.508
8,0.05,-0.0021,0.0750,1.420,0.564
8,0.10,-0.0041,0.1500,1.420,0.564
8,0.15,-0.0061,0.2250,1.420,0.564
8,0.20,-0.0081,0.3000,1.420,0.564
8,0.30,-0.0088,0.4500,1.420,0.564
8,0.40,-0.0014,0.6000,1.420,0.564
8,0.60,0.0552,0.9000,1.420,0.564
8,1.00,0.4285,1.5000,1.420,0.564
9,0.05,0.0002,0.0750,0.970,0.720
9,0.10,0.0004,0.1500,0.970,0.720
9,0.15,0.0008,0.2250,0.970,0.720
9,0.20,0.0016,0.3000,0.970,0.720
9,0.30,0.0062,0.4500,0.970,0.720
9,0.40,0.0187,0.6000,0.970,0.720
9,0.60,0.0869,0.9000,0.970,0.720
9,1.00,0.5093,1.5000,0.970,0.720
10,0.05,0.0023,0.0750,1.040,0.576
10,0.10,0.0044,0.1500,1.040,0.576
10,0.15,0.0072,0.2250,1.040,0.576
10,0.20,0.0108,0.3000,1.040,0.576
10,0.30,0.0220,0.4500,1.040,0.576
10,0.40,0.0405,0.6000,1.040,0.576
10,0.60,0.1243,0.9000,1.040,0.576
10,1.00,0.6095,1.5000,1.040,0.576
