trial,dir_label,t_commit_s,cmd_flu_x,cmd_flu_y,cmd_flu_z,yaw_rad,x,y,z,vx,vy,vz
0,+Y,809.250000,0.0000,1.5000,0.0000,1.661115,-0.48114,1.80337,2.18000,-0.00137,-0.00056,-0.00383
1,-Y,817.600000,0.0000,-1.5000,0.0000,3.072957,-1.96994,1.35809,2.18000,-0.00799,0.00639,0.00027
2,+X,825.950000,1.5000,0.0000,0.0000,1.653564,-1.59774,2.86089,2.18000,0.00107,0.00961,0.00806
3,-X,834.350000,-1.5000,0.0000,0.0000,1.644250,-1.70667,4.41936,2.17000,-0.01110,0.00130,-0.00415
4,+Y,842.700000,0.0000,1.5000,0.0000,0.201214,-1.87916,2.89429,2.18000,-0.00464,0.00713,-0.00077
5,-Y,851.100000,0.0000,-1.5000,0.0000,1.616241,-2.46923,4.33030,2.18000,-0.00253,0.00157,0.00505
6,+X,859.450000,1.5000,0.0000,0.0000,0.198118,-0.94412,4.11880,2.17000,0.00345,0.00424,0.00129
7,-X,867.850000,-1.5000,0.0000,0.0000,0.191326,0.61731,4.41936,2.18000,-0.00746,0.00436,-0.00638
8,+Y,876.200000,0.0000,1.5000,0.0000,-1.253464,-0.94412,4.41936,2.18000,0.01140,-0.00225,-0.00261
9,-Y,884.600000,0.0000,-1.5000,0.0000,0.160640,0.41759,5.16519,2.18000,0.00100,-0.00382,-0.00048
10,+X,892.950000,1.5000,0.0000,0.0000,-1.258819,0.39036,3.60673,2.18000,-0.00233,0.00152,0.00111
11,-X,901.350000,-1.5000,0.0000,0.0000,-1.265718,0.86241,2.11506,2.18000,-0.00136,-0.00130,0.00269
12,+Y,909.700000,0.0000,1.5000,0.0000,-2.709144,0.68085,3.65126,2.18000,-0.00333,0.00437,0.00203
13,-Y,918.100000,0.0000,-1.5000,0.0000,-1.294054,1.57050,2.38222,2.18000,-0.00178,0.00474,0.00147
14,+X,926.450000,1.5000,0.0000,0.0000,-2.713225,0.02723,2.23751,2.18000,0.00580,0.00504,0.00188
15,-X,934.800000,-1.5000,0.0000,0.0000,-2.721051,-1.39802,1.60299,2.18000,-0.00602,-0.00352,-0.00015
16,+Y,943.200000,0.0000,1.5000,0.0000,2.118763,0.09986,1.97034,2.18000,0.00918,0.00109,0.00026
17,-Y,951.550000,0.0000,-1.5000,0.0000,-2.748569,-1.05305,0.92395,2.17000,-0.00604,0.00043,0.00223
18,+X,959.950000,1.5000,0.0000,0.0000,2.112899,-1.37986,2.44901,2.18000,0.00858,-0.00781,-0.00315
19,-X,968.350000,-1.5000,0.0000,0.0000,2.105484,-2.16965,3.79597,2.18000,0.00277,-0.00632,0.00120
20,+Y,976.700000,0.0000,1.5000,0.0000,0.658457,-1.65220,2.34883,2.18000,0.00027,-0.01291,-0.00165
21,-Y,985.050000,0.0000,-1.5000,0.0000,2.074550,-2.81419,3.37296,2.18000,0.00803,-0.00236,0.00034
22,+X,993.450000,1.5000,0.0000,0.0000,0.652666,-1.33447,3.86276,2.18000,0.00510,-0.00265,-0.00049
23,-X,1001.800000,-1.5000,0.0000,0.0000,0.645702,-0.08170,4.80897,2.18000,-0.00368,-0.00304,-0.00349
24,+Y,1010.200000,0.0000,1.5000,0.0000,-0.795310,-1.47064,4.10767,2.18000,0.00463,0.00446,0.00020
25,-Y,1018.550000,0.0000,-1.5000,0.0000,0.618340,-0.56284,5.36557,2.18000,-0.00858,0.01416,0.00054
26,+X,1026.950000,1.5000,0.0000,0.0000,-0.800277,0.09078,3.97408,2.18000,-0.00829,-0.00528,-0.00198
27,-X,1035.350000,-1.5000,0.0000,0.0000,-0.808911,1.17107,2.82750,2.18000,-0.00934,0.01030,0.00189
