dodge_idx,t_since_cmd_s,escape_m,ideal_m,tca_s,miss_m
1,0.05,0.0005,0.0750,0.380,0.042
1,0.10,0.0009,0.1500,0.380,0.042
1,0.15,0.0015,0.2250,0.380,0.042
1,0.20,0.0022,0.3000,0.380,0.042
1,0.30,0.0061,0.4500,0.380,0.042
1,0.40,0.0161,0.6000,0.380,0.042
1,0.60,0.0744,0.9000,0.380,0.042
1,1.00,0.4519,1.5000,0.380,0.042
2,0.05,-0.0017,0.0750,0.440,0.297
2,0.10,-0.0031,0.1500,0.440,0.297
2,0.15,-0.0048,0.2250,0.440,0.297
2,0.20,-0.0059,0.3000,0.440,0.297
2,0.30,-0.0045,0.4500,0.440,0.297
2,0.40,0.0068,0.6000,0.440,0.297
2,0.60,0.0742,0.9000,0.440,0.297
2,1.00,0.4476,1.5000,0.440,0.297
3,0.05,-0.0004,0.0750,0.390,0.553
3,0.10,-0.0008,0.1500,0.390,0.553
3,0.15,-0.0010,0.2250,0.390,0.553
3,0.20,-0.0006,0.3000,0.390,0.553
3,0.30,0.0031,0.4500,0.390,0.553
3,0.40,0.0172,0.6000,0.390,0.553
3,0.60,0.0801,0.9000,0.390,0.553
3,1.00,0.4940,1.5000,0.390,0.553
4,0.05,-0.0006,0.0750,0.410,0.565
4,0.10,-0.0014,0.1500,0.410,0.565
4,0.15,-0.0021,0.2250,0.410,0.565
4,0.20,-0.0026,0.3000,0.410,0.565
4,0.30,0.0002,0.4500,0.410,0.565
4,0.40,0.0141,0.6000,0.410,0.565
4,0.60,0.0906,0.9000,0.410,0.565
4,1.00,0.5600,1.5000,0.410,0.565
5,0.05,-0.0003,0.0750,0.230,0.292
5,0.10,-0.0008,0.1500,0.230,0.292
5,0.15,-0.0013,0.2250,0.230,0.292
5,0.20,-0.0015,0.3000,0.230,0.292
5,0.30,0.0027,0.4500,0.230,0.292
5,0.40,0.0171,0.6000,0.230,0.292
5,0.60,0.0987,0.9000,0.230,0.292
5,1.00,0.5688,1.5000,0.230,0.292
6,0.05,-0.0000,0.0750,0.390,0.454
6,0.10,-0.0000,0.1500,0.390,0.454
6,0.15,0.0004,0.2250,0.390,0.454
6,0.20,0.0013,0.3000,0.390,0.454
6,0.30,0.0076,0.4500,0.390,0.454
6,0.40,0.0241,0.6000,0.390,0.454
6,0.60,0.1067,0.9000,0.390,0.454
6,1.00,0.6069,1.5000,0.390,0.454
7,0.05,0.0003,0.0750,0.360,0.441
7,0.10,0.0006,0.1500,0.360,0.441
7,0.15,0.0011,0.2250,0.360,0.441
7,0.20,0.0021,0.3000,0.360,0.441
7,0.30,0.0067,0.4500,0.360,0.441
7,0.40,0.0181,0.6000,0.360,0.441
7,0.60,0.0797,0.9000,0.360,0.441
7,1.00,0.4875,1.5000,0.360,0.441
8,0.05,-0.0018,0.0750,0.440,0.574
8,0.10,-0.0033,0.1500,0.440,0.574
8,0.15,-0.0046,0.2250,0.440,0.574
8,0.20,-0.0050,0.3000,0.440,0.574
8,0.30,-0.0001,0.4500,0.440,0.574
8,0.40,0.0159,0.6000,0.440,0.574
8,0.60,0.0904,0.9000,0.440,0.574
8,1.00,0.4956,1.5000,0.440,0.574
9,0.05,-0.0015,0.0750,0.330,0.526
9,0.10,-0.0027,0.1500,0.330,0.526
9,0.15,-0.0042,0.2250,0.330,0.526
9,0.20,-0.0055,0.3000,0.330,0.526
9,0.30,-0.0054,0.4500,0.330,0.526
9,0.40,0.0035,0.6000,0.330,0.526
9,0.60,0.0684,0.9000,0.330,0.526
9,1.00,0.5462,1.5000,0.330,0.526
10,0.05,0.0012,0.0750,0.260,0.503
10,0.10,0.0022,0.1500,0.260,0.503
10,0.15,0.0036,0.2250,0.260,0.503
10,0.20,0.0059,0.3000,0.260,0.503
10,0.30,0.0140,0.4500,0.260,0.503
10,0.40,0.0302,0.6000,0.260,0.503
10,0.60,0.1058,0.9000,0.260,0.503
10,1.00,0.5183,1.5000,0.260,0.503
