dodge_idx,t_since_cmd_s,escape_m,ideal_m,tca_s,miss_m
1,0.05,0.0121,0.0750,0.190,0.524
1,0.10,0.0331,0.1500,0.190,0.524
1,0.15,0.0429,0.2250,0.190,0.524
1,0.20,0.0555,0.3000,0.190,0.524
1,0.30,0.1046,0.4500,0.190,0.524
1,0.40,0.1631,0.6000,0.190,0.524
1,0.60,0.3096,0.9000,0.190,0.524
1,1.00,0.7411,1.5000,0.190,0.524
2,0.05,0.0149,0.0750,0.450,0.477
2,0.10,0.0395,0.1500,0.450,0.477
2,0.15,0.0586,0.2250,0.450,0.477
2,0.20,0.0753,0.3000,0.450,0.477
2,0.30,0.1440,0.4500,0.450,0.477
2,0.40,0.2118,0.6000,0.450,0.477
2,0.60,0.3907,0.9000,0.450,0.477
2,1.00,0.9410,1.5000,0.450,0.477
3,0.05,0.0038,0.0750,0.250,0.141
3,0.10,0.0075,0.1500,0.250,0.141
3,0.15,0.0185,0.2250,0.250,0.141
3,0.20,0.0256,0.3000,0.250,0.141
3,0.30,0.0432,0.4500,0.250,0.141
3,0.40,0.0688,0.6000,0.250,0.141
3,0.60,0.1406,0.9000,0.250,0.141
3,1.00,0.3452,1.5000,0.250,0.141
4,0.05,0.0021,0.0750,0.190,0.103
4,0.10,0.0042,0.1500,0.190,0.103
4,0.15,0.0066,0.2250,0.190,0.103
4,0.20,0.0099,0.3000,0.190,0.103
4,0.30,0.0171,0.4500,0.190,0.103
4,0.40,0.0263,0.6000,0.190,0.103
4,0.60,0.0489,0.9000,0.190,0.103
4,1.00,0.0954,1.5000,0.190,0.103
