episode,ball,scenario,rep,t_dodge_s,actual_min_m,counterfactual_min_m,delta_m,verdict,fit_resid_m,n_pre,n_post
1,ball_D60_r0_1786253202,D60,0,138.445,0.3765,0.1325,0.2440,DODGE_SAVED,0.0011,12,270
2,ball_D60_r1_1786253216,D60,1,152.657,0.5762,0.1804,0.3959,DODGE_SAVED,0.0016,12,279
3,ball_D60_r2_1786253233,D60,2,168.283,0.3652,0.1616,0.2036,DODGE_SAVED,0.0011,13,265
4,ball_D60_r3_1786253248,D60,3,182.746,0.4765,0.0987,0.3779,DODGE_SAVED,0.0010,12,269
5,ball_D60_r4_1786253262,D60,4,197.253,0.2869,0.1229,0.1640,DODGE_FAILED,0.0012,12,268
6,ball_D60_r5_1786253278,D60,5,212.291,0.2204,0.1392,0.0812,DODGE_FAILED,0.0008,12,257
7,ball_D60_r6_1786253293,D60,6,226.950,0.4789,0.0945,0.3844,DODGE_SAVED,0.0012,12,273
8,ball_D60_r7_1786253308,D60,7,241.539,0.0981,0.1596,-0.0615,DODGE_FAILED,0.0007,12,252
9,ball_D60_r8_1786253324,D60,8,256.978,0.1941,0.1426,0.0515,DODGE_FAILED,0.0009,12,257
10,ball_D60_r9_1786253339,D60,9,271.639,0.3312,0.0917,0.2395,DODGE_SAVED,0.0009,12,265
