combo,id,rep,expect_dodge,dodged,latency_ms,min_dist_m,spec_miss_m,aim_err_m,off_target,steady,success,error,note,skipped,window_s,needed_window_s,spawn_dead_s,miss_along_m,miss_cross_m,miss_vert_m,lead_along_m,lead_cross_m,lead_vert_m,ball_speed_mps,t_flight_assumed_s,flight_to_ca_s,tca_s,trigger_miss_m,first_det_range_m,track_updates,track_age_s,n_hypotheses
baseline,W01,0,True,False,,0.97,0.0,0.97,True,True,False,False,"no dodge fired | OFF-TARGET: spec miss 0.00 m, measured 0.97 m — aiming, not trigger",False,8.596,1.05,0.226,-0.209,-0.838,0.442,-1.281,-0.397,-0.012,7.958,0.75,0.593,,,3.309,,,
baseline,W01,1,True,True,19.0,0.341,0.0,0.341,False,True,True,False,clean dodge,False,2.178,1.05,0.235,-0.186,-0.192,-0.212,0.585,0.139,-0.02,8.0,0.75,0.797,0.06,0.314,3.403,3,0.169,1
baseline,W01,2,True,True,20.0,0.363,0.0,0.363,False,True,True,False,clean dodge,False,2.154,1.05,0.232,-0.136,-0.139,-0.307,0.678,0.111,-0.034,8.18,0.75,0.817,0.08,0.279,3.334,3,0.155,1
baseline,W01,3,True,True,19.0,0.616,0.0,0.616,False,True,True,False,clean dodge,False,2.082,1.05,0.25,-0.202,-0.184,-0.552,1.229,0.085,-0.002,8.0,0.75,0.877,0.1,0.318,3.319,3,0.154,1
baseline,W01,4,True,True,19.0,0.347,0.0,0.347,False,True,True,False,clean dodge,False,2.17,1.05,0.241,-0.064,-0.174,-0.293,0.614,0.115,-0.021,8.0,0.75,0.817,0.09,0.2,3.245,3,0.154,1
baseline,W01,5,True,True,18.0,0.592,0.0,0.592,False,True,True,False,clean dodge,False,2.035,1.05,0.239,-0.274,-0.186,-0.491,1.197,0.091,-0.004,8.0,0.75,0.862,0.08,0.612,3.271,3,0.155,1
baseline,W01,6,True,True,19.0,0.401,0.0,0.401,False,True,True,False,clean dodge,False,1.954,1.05,0.235,-0.207,-0.155,-0.307,0.756,0.127,-0.03,8.0,0.75,0.817,0.07,0.269,3.336,3,0.168,1
baseline,W01,7,True,True,18.0,0.409,0.0,0.409,False,True,True,False,clean dodge,False,2.144,1.05,0.241,-0.223,-0.158,-0.305,0.765,0.124,-0.032,8.0,0.75,0.816,0.08,0.235,3.396,3,0.171,1
