dodge_idx,t_since_cmd_s,escape_m,ideal_m,tca_s,miss_m
1,0.05,0.0178,0.0750,0.110,0.642
1,0.10,0.0342,0.1500,0.110,0.642
1,0.15,0.0429,0.2250,0.110,0.642
1,0.20,0.0742,0.3000,0.110,0.642
1,0.30,0.1306,0.4500,0.110,0.642
1,0.40,0.2076,0.6000,0.110,0.642
1,0.60,0.4255,0.9000,0.110,0.642
1,1.00,1.0488,1.5000,0.110,0.642
2,0.05,0.0177,0.0750,0.420,0.574
2,0.10,0.0431,0.1500,0.420,0.574
2,0.15,0.0632,0.2250,0.420,0.574
2,0.20,0.0805,0.3000,0.420,0.574
2,0.30,0.1429,0.4500,0.420,0.574
2,0.40,0.2213,0.6000,0.420,0.574
2,0.60,0.4360,0.9000,0.420,0.574
2,1.00,1.0121,1.5000,0.420,0.574
