episode,ball,scenario,rep,t_dodge_s,actual_min_m,counterfactual_min_m,delta_m,verdict,fit_resid_m,n_pre,n_post
1,ball_S08_r0_1786157431,S08,0,125.005,0.2514,0.1577,0.0938,DODGE_FAILED,0.0114,12,287
2,ball_S08_r1_1786157447,S08,1,140.490,0.3335,0.2421,0.0914,DODGE_SAVED,0.0084,12,286
3,ball_S08_r2_1786157459,S08,2,152.284,0.5853,0.4171,0.1682,WOULD_HAVE_MISSED,0.0102,12,290
4,ball_S14_r0_1786157474,S14,0,,0.2599,,,NO_DODGE,,0,309
5,ball_S14_r1_1786157487,S14,1,179.160,0.2972,0.2542,0.0429,DODGE_FAILED,0.0099,12,272
6,ball_S14_r2_1786157499,S14,2,190.860,0.2332,0.2133,0.0199,DODGE_FAILED,0.0133,12,273
7,ball_S20_r0_1786157514,S20,0,205.245,0.2545,0.2208,0.0338,DODGE_FAILED,0.0128,12,275
8,ball_S20_r1_1786157528,S20,1,219.536,0.2818,0.2335,0.0483,DODGE_FAILED,0.0089,12,272
9,ball_S20_r2_1786157543,S20,2,233.756,0.2337,0.2350,-0.0012,DODGE_FAILED,0.0192,12,278
10,ball_S20N_r0_1786157558,S20N,0,,1.3388,,,NO_DODGE,,0,311
11,ball_S20N_r1_1786157571,S20N,1,,1.3242,,,NO_DODGE,,0,308
