combo,id,rep,expect_dodge,dodged,latency_ms,min_dist_m,spec_miss_m,aim_err_m,off_target,steady,success,error,note,skipped,window_s,needed_window_s,spawn_dead_s,miss_along_m,miss_cross_m,miss_vert_m,lead_along_m,lead_cross_m,lead_vert_m,ball_speed_mps,t_flight_assumed_s,flight_to_ca_s,tca_s,trigger_miss_m,first_det_range_m,track_updates,track_age_s,n_hypotheses
baseline,H14,0,True,True,17.0,0.494,0.0,0.494,False,True,True,False,clean dodge,False,0.0,2.157,0.249,0.197,0.115,0.438,-0.289,-0.449,0.239,14.074,1.857,1.832,0.98,0.091,19.988,5,0.405,2
baseline,H14,1,True,True,20.0,0.84,0.0,0.84,False,True,True,False,clean dodge,False,0.0,2.157,0.269,-0.381,0.597,-0.453,0.633,-0.224,-0.491,14.074,1.857,1.849,1.02,0.246,20.071,5,0.321,1
baseline,H14,2,True,True,17.0,0.744,0.0,0.744,False,True,True,False,clean dodge,False,0.0,2.157,0.275,0.382,-0.332,0.546,-0.608,-0.357,0.4,13.927,1.857,1.839,1.08,0.715,19.909,4,0.234,1
baseline,H14,3,True,True,21.0,0.842,0.0,0.842,False,True,True,False,clean dodge,False,0.0,2.157,0.261,0.368,0.26,0.711,1.176,0.131,0.224,14.0,1.857,1.8,0.93,0.488,19.962,7,0.475,1
baseline,H14,4,True,True,20.0,0.561,0.0,0.561,False,True,True,False,clean dodge,False,0.0,2.157,0.264,-0.282,-0.003,-0.486,0.377,0.242,-0.368,13.925,1.857,1.87,0.99,0.69,19.91,6,0.415,1
baseline,H14,5,True,True,19.0,0.582,0.0,0.582,False,True,True,False,clean dodge,False,0.0,2.157,0.283,-0.401,-0.048,-0.419,0.313,0.252,-0.411,14.23,1.857,1.853,0.97,0.379,19.978,6,0.388,1
baseline,H14,6,True,True,19.0,0.505,0.0,0.505,False,True,True,False,clean dodge,False,0.0,2.157,0.308,0.048,0.374,0.335,0.378,-0.225,0.226,14.0,1.857,1.841,0.89,0.508,19.795,7,0.493,1
baseline,H14,7,True,True,16.0,0.917,0.0,0.917,False,True,True,False,clean dodge,False,0.0,2.157,0.306,-0.474,-0.269,-0.738,0.281,0.634,-0.62,13.853,1.857,1.868,1.42,0.564,19.903,3,0.165,1
baseline,H14,8,True,True,19.0,0.751,0.0,0.751,False,True,True,False,clean dodge,False,0.0,2.157,0.286,-0.369,0.593,-0.276,0.453,-0.46,-0.341,14.0,1.857,1.851,0.97,0.72,19.823,5,0.322,1
baseline,H14,9,True,True,19.0,0.542,0.0,0.542,False,True,True,False,clean dodge,False,0.0,2.157,0.277,0.319,-0.019,0.437,-0.339,-0.444,0.292,14.23,1.857,1.838,1.04,0.576,19.897,5,0.367,2
