episode,ball,scenario,rep,t_dodge_s,actual_min_m,counterfactual_min_m,delta_m,verdict,fit_resid_m,n_pre,n_post
1,ball_S08_r0_1786157098,S08,0,127.907,0.2892,0.2316,0.0577,DODGE_FAILED,0.0085,12,277
2,ball_S08_r1_1786157113,S08,1,142.321,0.2430,0.2400,0.0030,DODGE_FAILED,0.0108,12,274
3,ball_S08_r2_1786157127,S08,2,156.459,0.2158,0.1858,0.0299,DODGE_FAILED,0.0108,12,277
4,ball_S14_r0_1786157142,S14,0,170.753,0.2544,0.2222,0.0322,DODGE_FAILED,0.0155,12,271
5,ball_S14_r1_1786157158,S14,1,184.955,0.2293,0.2086,0.0206,DODGE_FAILED,0.0453,18,290
6,ball_S14_r2_1786157173,S14,2,199.250,0.1991,0.1885,0.0106,DODGE_FAILED,0.0137,12,273
7,ball_S20_r0_1786157188,S20,0,213.574,0.2308,0.2142,0.0166,DODGE_FAILED,0.0121,12,268
8,ball_S20_r1_1786157203,S20,1,,0.2742,,,NO_DODGE,,0,351
9,ball_S20_r2_1786157219,S20,2,,0.2076,,,NO_DODGE,,0,310
10,ball_S20N_r0_1786157232,S20N,0,,1.3362,,,NO_DODGE,,0,309
11,ball_S20N_r1_1786157245,S20N,1,,1.3506,,,NO_DODGE,,0,314
