episode,ball,scenario,rep,t_dodge_s,actual_min_m,counterfactual_min_m,delta_m,verdict,fit_resid_m,n_pre,n_post
1,ball_D30_r0_1786252862,D30,0,137.384,0.4185,0.0987,0.3198,DODGE_SAVED,0.0012,12,279
2,ball_D30_r1_1786252878,D30,1,152.695,0.4981,0.1331,0.3650,DODGE_SAVED,0.0011,12,280
3,ball_D30_r2_1786252893,D30,2,167.198,0.3547,0.1542,0.2005,DODGE_SAVED,0.0015,13,273
4,ball_D30_r3_1786252908,D30,3,181.864,0.2638,0.1033,0.1605,DODGE_FAILED,0.0007,12,269
5,ball_D30_r4_1786252924,D30,4,196.616,0.2503,0.1427,0.1076,DODGE_FAILED,0.0009,12,271
6,ball_D30_r5_1786252939,D30,5,210.980,0.5162,0.1494,0.3668,DODGE_SAVED,0.0010,12,286
7,ball_D30_r6_1786252954,D30,6,225.453,0.1909,0.1045,0.0864,DODGE_FAILED,0.0009,12,262
8,ball_D30_r7_1786252969,D30,7,239.749,0.5116,0.2100,0.3016,DODGE_SAVED,0.0012,12,279
9,ball_D30_r8_1786252985,D30,8,255.098,0.4650,0.1154,0.3496,DODGE_SAVED,0.0010,12,274
10,ball_D30_r9_1786253001,D30,9,270.230,0.5537,0.3016,0.2521,WOULD_HAVE_MISSED,0.0011,12,283
