dodge_idx,t_since_cmd_s,escape_m,ideal_m,tca_s,miss_m
1,0.05,-0.0022,0.0750,0.080,0.108
1,0.10,-0.0040,0.1500,0.080,0.108
1,0.15,-0.0060,0.2250,0.080,0.108
1,0.20,-0.0077,0.3000,0.080,0.108
1,0.30,-0.0070,0.4500,0.080,0.108
1,0.40,0.0018,0.6000,0.080,0.108
1,0.60,0.0625,0.9000,0.080,0.108
1,1.00,0.3688,1.5000,0.080,0.108
2,0.05,0.0027,0.0750,0.170,0.113
2,0.10,0.0042,0.1500,0.170,0.113
2,0.15,0.0089,0.2250,0.170,0.113
2,0.20,0.0139,0.3000,0.170,0.113
2,0.30,0.0330,0.4500,0.170,0.113
2,0.40,0.0634,0.6000,0.170,0.113
2,0.60,0.1644,0.9000,0.170,0.113
2,1.00,0.5677,1.5000,0.170,0.113
3,0.05,-0.0018,0.0750,0.150,0.390
3,0.10,-0.0063,0.1500,0.150,0.390
3,0.15,-0.0088,0.2250,0.150,0.390
3,0.20,-0.0117,0.3000,0.150,0.390
3,0.30,-0.0121,0.4500,0.150,0.390
3,0.40,-0.0079,0.6000,0.150,0.390
3,0.60,0.0381,0.9000,0.150,0.390
3,1.00,0.3220,1.5000,0.150,0.390
4,0.05,0.0035,0.0750,0.140,0.203
4,0.10,0.0082,0.1500,0.140,0.203
4,0.15,0.0108,0.2250,0.140,0.203
4,0.20,0.0189,0.3000,0.140,0.203
4,0.30,0.0355,0.4500,0.140,0.203
4,0.40,0.0649,0.6000,0.140,0.203
4,0.60,0.1596,0.9000,0.140,0.203
4,1.00,0.4854,1.5000,0.140,0.203
5,0.05,-0.0002,0.0750,0.120,0.187
5,0.10,-0.0002,0.1500,0.120,0.187
5,0.15,-0.0003,0.2250,0.120,0.187
5,0.20,0.0002,0.3000,0.120,0.187
5,0.30,0.0045,0.4500,0.120,0.187
5,0.40,0.0180,0.6000,0.120,0.187
5,0.60,0.0805,0.9000,0.120,0.187
5,1.00,0.4038,1.5000,0.120,0.187
6,0.05,0.0039,0.0750,0.110,0.245
6,0.10,0.0065,0.1500,0.110,0.245
6,0.15,0.0120,0.2250,0.110,0.245
6,0.20,0.0172,0.3000,0.110,0.245
6,0.30,0.0393,0.4500,0.110,0.245
6,0.40,0.0678,0.6000,0.110,0.245
6,0.60,0.1790,0.9000,0.110,0.245
6,1.00,0.5960,1.5000,0.110,0.245
7,0.05,0.0034,0.0750,0.100,0.390
7,0.10,0.0055,0.1500,0.100,0.390
7,0.15,0.0084,0.2250,0.100,0.390
7,0.20,0.0145,0.3000,0.100,0.390
7,0.30,0.0291,0.4500,0.100,0.390
7,0.40,0.0545,0.6000,0.100,0.390
7,0.60,0.1434,0.9000,0.100,0.390
7,1.00,0.4750,1.5000,0.100,0.390
8,0.05,0.0031,0.0750,0.160,0.299
8,0.10,0.0063,0.1500,0.160,0.299
8,0.15,0.0108,0.2250,0.160,0.299
8,0.20,0.0167,0.3000,0.160,0.299
8,0.30,0.0379,0.4500,0.160,0.299
8,0.40,0.0700,0.6000,0.160,0.299
8,0.60,0.1810,0.9000,0.160,0.299
8,1.00,0.5829,1.5000,0.160,0.299
