episode,ball,scenario,rep,t_dodge_s,actual_min_m,counterfactual_min_m,delta_m,verdict,fit_resid_m,n_pre,n_post
1,ball_H14_r0_1786250886,H14,0,135.903,0.1297,0.1019,0.0277,DODGE_FAILED,0.0004,12,253
2,ball_H14_r1_1786250901,H14,1,150.093,0.2057,0.0955,0.1102,DODGE_FAILED,0.0008,12,264
3,ball_H14_r2_1786250917,H14,2,165.105,0.1406,0.1329,0.0077,DODGE_FAILED,0.0010,13,269
4,ball_H14_r3_1786250933,H14,3,180.544,0.2786,0.0712,0.2074,DODGE_FAILED,0.0009,12,271
5,ball_H14_r4_1786250949,H14,4,195.846,0.6747,0.3004,0.3742,WOULD_HAVE_MISSED,0.0004,12,283
6,ball_H14_r5_1786250964,H14,5,210.687,0.2406,0.1611,0.0794,DODGE_FAILED,0.0010,13,263
7,ball_H14_r6_1786250980,H14,6,225.495,0.3827,0.1484,0.2342,DODGE_SAVED,0.0010,12,275
8,ball_H14_r7_1786250995,H14,7,239.940,0.3875,0.0985,0.2890,DODGE_SAVED,0.0010,12,272
9,ball_H14_r8_1786251011,H14,8,254.990,0.2030,0.3024,-0.0994,DODGE_HURT,0.0004,12,283
10,ball_H14_r9_1786251027,H14,9,269.885,0.4180,0.1190,0.2991,DODGE_SAVED,0.0014,12,280
