episode,ball,scenario,rep,t_dodge_s,actual_min_m,counterfactual_min_m,delta_m,verdict,fit_resid_m,n_pre,n_post
1,ball_S08_r0_1786156763,S08,0,,0.2581,,,NO_DODGE,,0,311
2,ball_S08_r1_1786156776,S08,1,141.840,0.3119,0.2823,0.0297,DODGE_SAVED,0.0074,12,269
3,ball_S08_r2_1786156791,S08,2,156.081,0.2771,0.2531,0.0241,DODGE_FAILED,0.0109,12,271
4,ball_S14_r0_1786156806,S14,0,170.583,0.2668,0.2508,0.0160,DODGE_FAILED,0.0117,12,270
5,ball_S14_r1_1786156820,S14,1,,0.2798,,,NO_DODGE,,0,315
6,ball_S14_r2_1786156833,S14,2,197.692,0.1968,0.1992,-0.0024,DODGE_FAILED,0.0137,12,270
7,ball_S20_r0_1786156848,S20,0,,0.2946,,,NO_DODGE,,0,313
8,ball_S20_r1_1786156862,S20,1,,0.2960,,,NO_DODGE,,0,314
9,ball_S20_r2_1786156875,S20,2,,0.3058,,,NO_DODGE,,0,312
10,ball_S20N_r0_1786156888,S20N,0,,1.3440,,,NO_DODGE,,0,312
11,ball_S20N_r1_1786156904,S20N,1,,1.3327,,,NO_DODGE,,0,310
