combo,id,rep,expect_dodge,dodged,latency_ms,min_dist_m,spec_miss_m,aim_err_m,off_target,steady,success,error,note,skipped,window_s,needed_window_s,spawn_dead_s,miss_along_m,miss_cross_m,miss_vert_m,lead_along_m,lead_cross_m,lead_vert_m,ball_speed_mps,t_flight_assumed_s,flight_to_ca_s,tca_s,trigger_miss_m,first_det_range_m,track_updates,track_age_s,n_hypotheses
baseline,S08,0,True,True,17.0,0.131,0.0,0.131,False,True,False,False,dodged but min_dist 0.13 <= hit_radius,False,1.225,1.05,0.297,0.017,-0.126,-0.033,-0.013,0.128,-0.033,8.043,0.75,0.747,0.25,0.292,8.793,5,0.459,2
baseline,S08,1,True,True,19.0,0.295,0.0,0.295,False,True,False,False,dodged but min_dist 0.29 <= hit_radius,False,2.163,1.05,0.244,-0.046,-0.188,-0.222,0.454,0.146,-0.026,8.0,0.75,0.797,0.06,0.175,8.894,3,0.169,2
baseline,S08,2,True,True,19.0,0.283,0.0,0.283,False,True,False,False,dodged but min_dist 0.28 <= hit_radius,False,2.164,1.05,0.256,-0.026,-0.168,-0.227,0.448,0.126,-0.022,8.0,0.75,0.799,0.48,0.241,8.796,3,0.255,2
baseline,S14,0,True,True,19.0,0.257,0.0,0.257,False,True,False,False,dodged but min_dist 0.26 <= hit_radius,False,2.164,1.014,0.242,-0.142,-0.167,-0.134,0.557,0.116,-0.026,14.078,0.714,0.741,0.25,0.552,8.906,3,0.163,1
baseline,S14,1,True,True,19.0,0.23,0.0,0.23,False,True,False,False,dodged but min_dist 0.23 <= hit_radius,False,2.174,1.014,0.287,-0.136,-0.15,-0.109,0.452,0.109,-0.027,13.926,0.714,0.735,0.11,0.118,8.789,3,0.155,2
baseline,S14,2,True,True,18.0,0.252,0.0,0.252,False,True,False,False,dodged but min_dist 0.25 <= hit_radius,False,2.175,1.014,0.254,-0.149,-0.171,-0.11,0.481,0.128,-0.024,14.0,0.714,0.735,0.23,0.211,8.888,3,0.154,1
baseline,S20,0,True,True,19.0,0.24,0.0,0.24,False,True,False,False,dodged but min_dist 0.24 <= hit_radius,False,2.163,1.05,0.24,0.018,-0.187,-0.149,0.637,0.129,-0.023,20.106,0.75,0.782,0.02,0.383,8.964,3,0.169,2
baseline,S20,1,True,False,,0.283,0.0,0.283,False,True,False,False,no dodge fired,False,2.167,1.05,0.254,0.126,-0.178,-0.181,0.688,0.117,-0.022,19.791,0.75,0.79,,,8.846,,,
baseline,S20,2,True,True,19.0,0.285,0.0,0.285,False,True,False,False,dodged but min_dist 0.28 <= hit_radius,False,2.037,1.05,0.268,-0.177,-0.191,-0.114,0.592,0.138,-0.035,20.213,0.75,0.768,0.06,0.293,8.716,3,0.139,2
baseline,S20N,0,False,False,,1.344,1.5,0.156,False,True,True,False,correctly ignored,False,2.169,1.05,0.307,0.063,1.334,-0.151,0.57,0.115,-0.029,20.0,0.75,0.779,,,8.795,,,
baseline,S20N,1,False,False,,1.335,1.5,0.165,False,True,True,False,correctly ignored,False,2.032,1.05,0.235,0.154,1.315,-0.165,0.58,0.133,-0.022,20.0,0.75,0.784,,,8.901,,,
