dodge_idx,t_since_cmd_s,escape_m,ideal_m,tca_s,miss_m
1,0.05,-0.0041,0.0750,0.150,0.673
1,0.10,-0.0097,0.1500,0.150,0.673
1,0.15,-0.0150,0.2250,0.150,0.673
1,0.20,-0.0210,0.3000,0.150,0.673
1,0.30,-0.0315,0.4500,0.150,0.673
1,0.40,-0.0357,0.6000,0.150,0.673
1,0.60,-0.0035,0.9000,0.150,0.673
1,1.00,0.2923,1.5000,0.150,0.673
2,0.05,0.0093,0.0750,0.070,0.227
2,0.10,0.0193,0.1500,0.070,0.227
2,0.15,0.0329,0.2250,0.070,0.227
2,0.20,0.0509,0.3000,0.070,0.227
2,0.30,0.0920,0.4500,0.070,0.227
2,0.40,0.1411,0.6000,0.070,0.227
2,0.60,0.2488,0.9000,0.070,0.227
2,1.00,0.4296,1.5000,0.070,0.227
3,0.05,0.0067,0.0750,0.100,0.287
3,0.10,0.0132,0.1500,0.100,0.287
3,0.15,0.0226,0.2250,0.100,0.287
3,0.20,0.0349,0.3000,0.100,0.287
3,0.30,0.0704,0.4500,0.100,0.287
3,0.40,0.1214,0.6000,0.100,0.287
3,0.60,0.2754,0.9000,0.100,0.287
3,1.00,0.8223,1.5000,0.100,0.287
4,0.05,0.0062,0.0750,0.080,0.254
4,0.10,0.0103,0.1500,0.080,0.254
4,0.15,0.0178,0.2250,0.080,0.254
4,0.20,0.0289,0.3000,0.080,0.254
4,0.30,0.0533,0.4500,0.080,0.254
4,0.40,0.0903,0.6000,0.080,0.254
4,0.60,0.2105,0.9000,0.080,0.254
4,1.00,0.6472,1.5000,0.080,0.254
5,0.05,0.0045,0.0750,0.090,0.338
5,0.10,0.0141,0.1500,0.090,0.338
5,0.15,0.0229,0.2250,0.090,0.338
5,0.20,0.0339,0.3000,0.090,0.338
5,0.30,0.0687,0.4500,0.090,0.338
5,0.40,0.1161,0.6000,0.090,0.338
5,0.60,0.2552,0.9000,0.090,0.338
5,1.00,0.7028,1.5000,0.090,0.338
6,0.05,0.0094,0.0750,0.070,0.113
6,0.10,0.0179,0.1500,0.070,0.113
6,0.15,0.0333,0.2250,0.070,0.113
6,0.20,0.0474,0.3000,0.070,0.113
6,0.30,0.0838,0.4500,0.070,0.113
6,0.40,0.1290,0.6000,0.070,0.113
6,0.60,0.2265,0.9000,0.070,0.113
6,1.00,0.4226,1.5000,0.070,0.113
