episode,ball,scenario,rep,t_dodge_s,actual_min_m,counterfactual_min_m,delta_m,verdict,fit_resid_m,n_pre,n_post
1,ball_H14_r0_1786249947,H14,0,144.644,0.1353,0.1167,0.0186,DODGE_FAILED,0.0009,12,274
2,ball_H14_r1_1786249962,H14,1,158.851,0.1171,0.1193,-0.0023,DODGE_FAILED,0.0017,12,280
3,ball_H14_r2_1786249977,H14,2,172.848,0.1383,0.1425,-0.0042,DODGE_FAILED,0.0015,12,280
4,ball_H14_r3_1786249993,H14,3,187.853,0.1379,0.1220,0.0159,DODGE_FAILED,0.0014,12,278
5,ball_H14_r4_1786250007,H14,4,202.182,0.0934,0.0811,0.0123,DODGE_FAILED,0.0015,12,270
6,ball_H14_r5_1786250023,H14,5,216.584,0.1187,0.1177,0.0010,DODGE_FAILED,0.0017,12,281
7,ball_H14_r6_1786250038,H14,6,231.000,0.1147,0.0953,0.0194,DODGE_FAILED,0.0014,12,277
8,ball_H14_r7_1786250052,H14,7,245.084,0.1265,0.0885,0.0380,DODGE_FAILED,0.0015,12,283
9,ball_H14_r8_1786250067,H14,8,259.059,0.0551,0.0773,-0.0222,DODGE_FAILED,0.0014,12,281
10,ball_H14_r9_1786250083,H14,9,274.242,0.1052,0.1101,-0.0049,DODGE_FAILED,0.0016,13,280
