dodge_idx,t_since_cmd_s,escape_m,ideal_m,tca_s,miss_m
1,0.05,-0.0012,0.0750,0.710,0.743
1,0.10,-0.0024,0.1500,0.710,0.743
1,0.15,-0.0035,0.2250,0.710,0.743
1,0.20,-0.0037,0.3000,0.710,0.743
1,0.30,-0.0008,0.4500,0.710,0.743
1,0.40,0.0129,0.6000,0.710,0.743
1,0.60,0.0870,0.9000,0.710,0.743
1,1.00,0.4454,1.5000,0.710,0.743
2,0.05,-0.0011,0.0750,0.770,0.217
2,0.10,-0.0021,0.1500,0.770,0.217
2,0.15,-0.0027,0.2250,0.770,0.217
2,0.20,-0.0027,0.3000,0.770,0.217
2,0.30,0.0032,0.4500,0.770,0.217
2,0.40,0.0201,0.6000,0.770,0.217
2,0.60,0.1065,0.9000,0.770,0.217
2,1.00,0.5148,1.5000,0.770,0.217
3,0.05,0.0014,0.0750,0.740,0.551
3,0.10,0.0022,0.1500,0.740,0.551
3,0.15,0.0040,0.2250,0.740,0.551
3,0.20,0.0068,0.3000,0.740,0.551
3,0.30,0.0174,0.4500,0.740,0.551
3,0.40,0.0377,0.6000,0.740,0.551
3,0.60,0.1217,0.9000,0.740,0.551
3,1.00,0.5236,1.5000,0.740,0.551
4,0.05,-0.0004,0.0750,0.860,0.413
4,0.10,-0.0009,0.1500,0.860,0.413
4,0.15,-0.0014,0.2250,0.860,0.413
4,0.20,-0.0014,0.3000,0.860,0.413
4,0.30,0.0022,0.4500,0.860,0.413
4,0.40,0.0161,0.6000,0.860,0.413
4,0.60,0.0958,0.9000,0.860,0.413
4,1.00,0.5296,1.5000,0.860,0.413
5,0.05,0.0002,0.0750,0.790,0.302
5,0.10,0.0004,0.1500,0.790,0.302
5,0.15,0.0008,0.2250,0.790,0.302
5,0.20,0.0016,0.3000,0.790,0.302
5,0.30,0.0061,0.4500,0.790,0.302
5,0.40,0.0180,0.6000,0.790,0.302
5,0.60,0.0819,0.9000,0.790,0.302
5,1.00,0.4577,1.5000,0.790,0.302
6,0.05,0.0017,0.0750,0.770,0.704
6,0.10,0.0031,0.1500,0.770,0.704
6,0.15,0.0052,0.2250,0.770,0.704
6,0.20,0.0088,0.3000,0.770,0.704
6,0.30,0.0212,0.4500,0.770,0.704
6,0.40,0.0446,0.6000,0.770,0.704
6,0.60,0.1394,0.9000,0.770,0.704
6,1.00,0.5551,1.5000,0.770,0.704
7,0.05,0.0015,0.0750,0.790,0.452
7,0.10,0.0029,0.1500,0.790,0.452
7,0.15,0.0054,0.2250,0.790,0.452
7,0.20,0.0083,0.3000,0.790,0.452
7,0.30,0.0203,0.4500,0.790,0.452
7,0.40,0.0424,0.6000,0.790,0.452
7,0.60,0.1335,0.9000,0.790,0.452
7,1.00,0.5152,1.5000,0.790,0.452
8,0.05,-0.0004,0.0750,0.880,0.648
8,0.10,-0.0007,0.1500,0.880,0.648
8,0.15,-0.0011,0.2250,0.880,0.648
8,0.20,-0.0012,0.3000,0.880,0.648
8,0.30,0.0010,0.4500,0.880,0.648
8,0.40,0.0098,0.6000,0.880,0.648
8,0.60,0.0707,0.9000,0.880,0.648
8,1.00,0.4370,1.5000,0.880,0.648
9,0.05,0.0004,0.0750,0.900,0.536
9,0.10,0.0007,0.1500,0.900,0.536
9,0.15,0.0012,0.2250,0.900,0.536
9,0.20,0.0019,0.3000,0.900,0.536
9,0.30,0.0057,0.4500,0.900,0.536
9,0.40,0.0163,0.6000,0.900,0.536
9,0.60,0.0784,0.9000,0.900,0.536
9,1.00,0.4534,1.5000,0.900,0.536
10,0.05,0.0019,0.0750,0.860,0.719
10,0.10,0.0034,0.1500,0.860,0.719
10,0.15,0.0057,0.2250,0.860,0.719
10,0.20,0.0092,0.3000,0.860,0.719
10,0.30,0.0225,0.4500,0.860,0.719
10,0.40,0.0465,0.6000,0.860,0.719
10,0.60,0.1411,0.9000,0.860,0.719
10,1.00,0.5507,1.5000,0.860,0.719
