trial,label,t_edge,t_onset,lat_lo,lat_hi,sigma_vh,v_peak,a_peak,t_apeak,dir_err_deg,d0.05,d0.1,d0.15,d0.2,d0.3,d0.4,d0.5,v0.05,v0.1,v0.15,v0.2,v0.3,v0.4,v0.5
0,+Y,462.633196,462.551196,0.0,0.018000000000006372,0.03028992820654664,1.5350613874061143,2.428702381834614,0.20699999999999363,0.2095762856256681,0.027055390222590316,0.04336039038805631,0.06484909762391797,0.09193634661800835,0.16342066987204099,0.2570850486506562,0.36958901825966,0.2951936000877613,0.3920925961840731,0.4990666586550084,0.6123368585323384,0.842903606460652,1.0516502493600106,1.2226311636366147
1,-Y,809.7331959999999,809.661196,0.0,0.028000000000110964,0.03672730389339288,1.490633011100611,2.42881167273389,0.16699999999991633,179.41056116655295,0.033985275365440416,0.05297110094834277,0.07740028063061592,0.1075480340580177,0.18510794941799671,0.28410158041106415,0.4010364431248065,0.3475951466263592,0.45192421718490033,0.5641170916144691,0.6799499656799222,0.9084869044984056,1.1084462677374527,1.2661483707005468
2,+X,818.033196,817.941196,0.0,0.008000000000015467,0.021754864185614956,1.4873704478813414,2.411827309322329,0.26699999999993906,90.03968923596467,0.018717556411459328,0.03138199587920605,0.04872288776128296,0.07129951833064967,0.13336344435958622,0.21795591293353606,0.3228694471431358,0.22721687698072157,0.31231805005749613,0.4113867790978081,0.5202049411573211,0.7486045137180276,0.9683934563216906,1.1555362035441028
3,-X,826.433196,826.361196,0.0,0.027999999999997277,0.036651507692308787,1.5346266506642863,2.4581133323540016,0.21699999999998454,179.93172036728762,0.03308810185920569,0.051937903223786185,0.07641101191229245,0.10685078797983674,0.18586896754985746,0.28739102218514806,0.4075679237567715,0.35274067895007205,0.45870470665777735,0.5756131011092317,0.697509453226451,0.9354203598990347,1.1435423129994133,1.3087299875241525
4,+Y,834.8331959999999,834.736196,0.0,0.0030000000000200144,0.02706121147011349,1.4991777140252625,2.481801125808703,0.21199999999998909,90.58110876642797,0.02453593438625881,0.040521931303241214,0.06188730673765131,0.08910980842921096,0.16186366876657535,0.2579612626931538,0.37375671362253227,0.27535350434728534,0.37630994432758313,0.4882656882959203,0.6091766711707864,0.8530434990429285,1.071372792681962,1.247496094991403
5,-Y,843.133196,843.038196,0.0,0.004999999999972721,0.021092982249211766,1.4962387597272127,2.45292337044154,0.2880000000000109,179.66193209287334,0.017849252254180784,0.030248181243312074,0.04732878319620819,0.06969544494536184,0.13160830992405212,0.21659962022505827,0.3222911567685451,0.2171079751690174,0.3031114840533892,0.40351060076939543,0.515094720135565,0.749926362002483,0.9705574211140074,1.1592081454787642
6,+X,851.533196,851.441196,0.0,0.008000000000015467,0.022600823817128992,1.5025579731275736,2.471002276934196,0.2619999999999436,90.00789965442604,0.018917086144084643,0.031678214159583065,0.04916214403259875,0.07197919890963153,0.13491545541444797,0.22094848599864336,0.32762474054964763,0.22307136954632015,0.30833619097180015,0.40813853269505135,0.519052581026299,0.7532971883627202,0.9761481648141999,1.1680267900554244
7,-X,859.933196,859.856196,0.0,0.023000000000001825,0.034696756196504176,1.5368109432079977,2.47140698003556,0.21500000000003183,179.92561397361837,0.03034110822064243,0.048383224919451434,0.07204276853647258,0.10170235906222069,0.17929457056888687,0.279733739289513,0.39920758371182674,0.3341973573805151,0.44005090317418033,0.5570114423846729,0.6796795129378551,0.9204100464031051,1.1320566874146454,1.3008288181706171
8,+Y,868.3331959999999,868.258196,0.0,0.025000000000068218,0.03510803595007845,1.4989748970496624,2.4516605518707015,0.2179999999999609,89.48487302293329,0.03152465788204622,0.049810192251274435,0.07365688868392684,0.10340668615050652,0.18097034146983504,0.2809367544487563,0.39934905242504437,0.3355829981049331,0.4408504725527729,0.5568193215654458,0.6773739952443911,0.9142996801169663,1.1218732511641838,1.2846891992728584
9,-Y,876.633196,876.538196,0.0,0.004999999999972721,0.021440778192239322,1.4886477529605724,2.4472814548998865,0.26499999999998636,179.4149921800142,0.017558001165333452,0.029745258889496272,0.04651988589490453,0.06847691960338395,0.12940688923630433,0.21322273988952417,0.31769902747224193,0.21914406518559323,0.30158336422682,0.398504861504844,0.506856382742915,0.7377658310667399,0.961337509264297,1.1516541216590166
10,+X,885.033196,884.946196,0.0,0.01300000000001092,0.023226273935314155,1.5018016675056232,2.4716206666516483,0.2519999999999527,89.9736531448153,0.019875308424095125,0.03306226135877743,0.05100572869575556,0.07428658505729935,0.13819248999300843,0.22516840101735447,0.33259445279150857,0.23380711603253418,0.3235038416728505,0.42479645355974394,0.5345865517321492,0.7674978948657194,0.9896205197013455,1.1760534550614916
11,-X,893.433196,893.3581959999999,0.0,0.02499999999995453,0.035563611993574946,1.5444620908063342,2.499033113451867,0.18500000000005912,179.82909406738676,0.03218123353314057,0.050842056938168255,0.07516525297023752,0.10553759919719616,0.18473140656038659,0.28680116005428785,0.40798517847828997,0.3369974721348927,0.4440768793235524,0.5610951443762477,0.6848884922583379,0.9279258958691607,1.1392472378567657,1.308746954704794
