episode,ball,scenario,rep,t_dodge_s,actual_min_m,counterfactual_min_m,delta_m,verdict,fit_resid_m,n_pre,n_post
1,ball_S08_r0_1786110098,S08,0,123.768,0.2354,0.1209,0.1146,DODGE_FAILED,0.0126,12,299
2,ball_S08_r1_1786110114,S08,1,139.712,0.5681,0.3869,0.1813,WOULD_HAVE_MISSED,0.0109,12,288
3,ball_S08_r2_1786110128,S08,2,153.714,0.2866,0.1926,0.0941,DODGE_FAILED,0.0142,12,290
4,ball_S14_r0_1786110144,S14,0,169.291,0.2520,0.1802,0.0718,DODGE_FAILED,0.0152,12,285
5,ball_S14_r1_1786110160,S14,1,184.785,0.2450,0.1779,0.0671,DODGE_FAILED,0.0121,12,289
6,ball_S14_r2_1786110172,S14,2,196.232,0.1464,0.1117,0.0347,DODGE_FAILED,0.0117,12,301
7,ball_S20_r0_1786110188,S20,0,211.938,0.2411,0.1744,0.0666,DODGE_FAILED,0.0128,12,278
8,ball_S20_r1_1786110203,S20,1,226.022,0.3063,0.1984,0.1079,DODGE_SAVED,0.0100,12,280
9,ball_S20_r2_1786110215,S20,2,237.828,0.3623,0.3131,0.0492,WOULD_HAVE_MISSED,0.0131,12,283
10,ball_S20N_r0_1786110229,S20N,0,,1.3419,,,NO_DODGE,,0,308
11,ball_S20N_r1_1786110242,S20N,1,,1.3196,,,NO_DODGE,,0,319
