episode,ball,scenario,rep,t_dodge_s,actual_min_m,counterfactual_min_m,delta_m,verdict,fit_resid_m,n_pre,n_post
1,ball_H20_r0_1786251761,H20,0,138.756,0.2362,0.1063,0.1299,DODGE_FAILED,0.0011,12,274
2,ball_H20_r1_1786251776,H20,1,153.711,0.1994,0.0988,0.1006,DODGE_FAILED,0.0014,12,283
3,ball_H20_r2_1786251792,H20,2,168.821,0.3500,0.0855,0.2645,DODGE_SAVED,0.0015,12,280
4,ball_H20_r3_1786251807,H20,3,183.502,0.1333,0.1355,-0.0022,DODGE_FAILED,0.0011,12,274
5,ball_H20_r4_1786251823,H20,4,198.787,0.2074,0.1033,0.1042,DODGE_FAILED,0.0009,12,277
6,ball_H20_r5_1786251838,H20,5,212.852,0.5008,0.1761,0.3246,DODGE_SAVED,0.0015,12,291
7,ball_H20_r6_1786251853,H20,6,227.367,0.2691,0.1383,0.1308,DODGE_FAILED,0.0014,12,283
8,ball_H20_r7_1786251869,H20,7,242.553,0.2808,0.1525,0.1283,DODGE_FAILED,0.0009,12,273
9,ball_H20_r8_1786251884,H20,8,256.569,0.3865,0.1580,0.2285,DODGE_SAVED,0.0017,12,289
10,ball_H20_r9_1786251900,H20,9,271.485,0.2737,0.2023,0.0714,DODGE_FAILED,0.0011,13,276
