combo,id,rep,expect_dodge,dodged,latency_ms,min_dist_m,spec_miss_m,aim_err_m,off_target,steady,success,error,note,skipped,window_s,needed_window_s,spawn_dead_s,miss_along_m,miss_cross_m,miss_vert_m,lead_along_m,lead_cross_m,lead_vert_m,ball_speed_mps,t_flight_assumed_s,flight_to_ca_s,tca_s,trigger_miss_m,first_det_range_m,track_updates,track_age_s,n_hypotheses
baseline,W01,0,True,True,20.0,0.548,0.0,0.548,False,True,True,False,clean dodge,False,26.765,1.05,0.232,-0.125,-0.533,0.005,0.102,0.53,-0.01,8.0,0.75,0.743,0.28,0.248,3.338,3,0.166,1
baseline,W01,1,True,True,20.0,0.327,0.0,0.327,False,True,True,False,clean dodge,False,2.185,1.05,0.225,-0.002,-0.169,-0.279,0.503,0.125,-0.033,8.042,0.75,0.81,0.09,0.571,3.393,3,0.168,1
baseline,W01,2,True,True,19.0,0.345,0.0,0.345,False,True,True,False,clean dodge,False,2.092,1.05,0.223,-0.161,-0.147,-0.267,0.643,0.094,-0.029,8.0,0.75,0.809,0.06,0.483,3.217,3,0.154,1
baseline,W01,3,True,True,17.0,0.305,0.0,0.305,False,True,True,False,clean dodge,False,2.142,1.05,0.228,-0.13,-0.12,-0.248,0.559,0.094,-0.036,8.088,0.75,0.803,0.08,0.383,3.324,3,0.166,1
baseline,W01,4,True,True,21.0,0.302,0.0,0.302,False,True,True,False,clean dodge,False,2.145,1.05,0.242,-0.135,-0.115,-0.245,0.556,0.087,-0.037,7.956,0.75,0.803,0.08,0.394,3.288,3,0.152,1
baseline,W01,5,True,True,19.0,0.314,0.0,0.314,False,True,True,False,clean dodge,False,2.107,1.05,0.217,-0.162,-0.136,-0.232,0.56,0.107,-0.036,8.0,0.75,0.798,0.07,0.288,3.341,3,0.163,1
baseline,W01,6,True,True,19.0,0.576,0.0,0.576,False,True,True,False,clean dodge,False,2.116,1.05,0.222,-0.182,-0.181,-0.515,1.146,0.085,-0.004,7.957,0.75,0.868,0.0,0.508,3.379,4,0.237,1
baseline,W01,7,True,True,20.0,0.357,0.0,0.357,False,True,True,False,clean dodge,False,1.762,1.05,0.223,-0.158,-0.157,-0.28,0.652,0.132,-0.033,8.0,0.75,0.808,0.09,0.401,3.36,3,0.167,1
