dodge_idx,t_since_cmd_s,escape_m,ideal_m,tca_s,miss_m
1,0.05,0.0099,0.0750,0.060,0.314
1,0.10,0.0179,0.1500,0.060,0.314
1,0.15,0.0281,0.2250,0.060,0.314
1,0.20,0.0431,0.3000,0.060,0.314
1,0.30,0.0725,0.4500,0.060,0.314
1,0.40,0.1096,0.6000,0.060,0.314
1,0.60,0.1980,0.9000,0.060,0.314
1,1.00,0.4384,1.5000,0.060,0.314
2,0.05,0.0009,0.0750,0.080,0.279
2,0.10,0.0081,0.1500,0.080,0.279
2,0.15,0.0138,0.2250,0.080,0.279
2,0.20,0.0198,0.3000,0.080,0.279
2,0.30,0.0359,0.4500,0.080,0.279
2,0.40,0.0560,0.6000,0.080,0.279
2,0.60,0.1115,0.9000,0.080,0.279
2,1.00,0.4410,1.5000,0.080,0.279
3,0.05,0.0038,0.0750,0.100,0.318
3,0.10,0.0078,0.1500,0.100,0.318
3,0.15,0.0120,0.2250,0.100,0.318
3,0.20,0.0178,0.3000,0.100,0.318
3,0.30,0.0296,0.4500,0.100,0.318
3,0.40,0.0451,0.6000,0.100,0.318
3,0.60,0.1041,0.9000,0.100,0.318
3,1.00,0.4574,1.5000,0.100,0.318
4,0.05,-0.0005,0.0750,0.090,0.200
4,0.10,-0.0010,0.1500,0.090,0.200
4,0.15,-0.0013,0.2250,0.090,0.200
4,0.20,-0.0008,0.3000,0.090,0.200
4,0.30,0.0039,0.4500,0.090,0.200
4,0.40,0.0178,0.6000,0.090,0.200
4,0.60,0.0854,0.9000,0.090,0.200
4,1.00,0.5561,1.5000,0.090,0.200
5,0.05,0.0089,0.0750,0.080,0.612
5,0.10,0.0198,0.1500,0.080,0.612
5,0.15,0.0337,0.2250,0.080,0.612
5,0.20,0.0501,0.3000,0.080,0.612
5,0.30,0.0900,0.4500,0.080,0.612
5,0.40,0.1403,0.6000,0.080,0.612
5,0.60,0.2381,0.9000,0.080,0.612
5,1.00,0.4535,1.5000,0.080,0.612
6,0.05,0.0073,0.0750,0.070,0.269
6,0.10,0.0147,0.1500,0.070,0.269
6,0.15,0.0228,0.2250,0.070,0.269
6,0.20,0.0377,0.3000,0.070,0.269
6,0.30,0.0634,0.4500,0.070,0.269
6,0.40,0.0968,0.6000,0.070,0.269
6,0.60,0.1597,0.9000,0.070,0.269
6,1.00,0.3194,1.5000,0.070,0.269
7,0.05,0.0029,0.0750,0.080,0.235
7,0.10,0.0056,0.1500,0.080,0.235
7,0.15,0.0090,0.2250,0.080,0.235
7,0.20,0.0138,0.3000,0.080,0.235
7,0.30,0.0252,0.4500,0.080,0.235
7,0.40,0.0439,0.6000,0.080,0.235
7,0.60,0.1202,0.9000,0.080,0.235
7,1.00,0.5486,1.5000,0.080,0.235
