dodge_idx,t_since_cmd_s,escape_m,ideal_m,tca_s,miss_m
1,0.05,0.0015,0.0750,0.840,0.563
1,0.10,0.0031,0.1500,0.840,0.563
1,0.15,0.0043,0.2250,0.840,0.563
1,0.20,0.0067,0.3000,0.840,0.563
1,0.30,0.0142,0.4500,0.840,0.563
1,0.40,0.0284,0.6000,0.840,0.563
1,0.60,0.0935,0.9000,0.840,0.563
1,1.00,0.4769,1.5000,0.840,0.563
2,0.05,-0.0021,0.0750,1.050,0.708
2,0.10,-0.0038,0.1500,1.050,0.708
2,0.15,-0.0058,0.2250,1.050,0.708
2,0.20,-0.0074,0.3000,1.050,0.708
2,0.30,-0.0072,0.4500,1.050,0.708
2,0.40,0.0020,0.6000,1.050,0.708
2,0.60,0.0668,0.9000,1.050,0.708
2,1.00,0.5066,1.5000,1.050,0.708
