t_s,x,y,z,vx,vy,vz,qx,qy,qz,qw
109.180000,-0.00908,0.00000,2.19000,0.00758,0.00189,0.00196,-0.000100,0.000083,0.000098,1.000000
109.180000,-0.00908,0.00000,2.19000,0.00758,0.00189,0.00196,-0.000100,0.000083,0.000098,1.000000
109.180000,-0.00908,0.00000,2.19000,0.00758,0.00189,0.00196,-0.000100,0.000083,0.000098,1.000000
109.201000,-0.00908,0.00000,2.19000,0.00758,0.00189,0.00196,-0.000100,0.000083,0.000098,1.000000
109.235000,-0.00908,0.00000,2.19000,0.00759,0.00014,0.00160,0.000504,-0.000037,0.000294,1.000000
109.267000,-0.00908,0.00000,2.19000,0.00759,0.00014,0.00160,0.000504,-0.000037,0.000294,1.000000
109.300000,-0.00908,0.00000,2.19000,0.00759,0.00014,0.00160,0.000504,-0.000037,0.000294,1.000000
109.334000,-0.00908,0.00000,2.19000,0.00759,0.00014,0.00160,0.000504,-0.000037,0.000294,1.000000
109.367000,-0.00908,0.00000,2.19000,0.00759,0.00014,0.00160,0.000504,-0.000037,0.000294,1.000000
109.400000,-0.00908,0.00000,2.19000,0.00759,0.00014,0.00160,0.000504,-0.000037,0.000294,1.000000
109.434000,-0.00908,0.00000,2.19000,0.00759,0.00014,0.00160,0.000504,-0.000037,0.000294,1.000000
109.467000,-0.00908,0.00000,2.19000,0.00759,0.00014,0.00160,0.000504,-0.000037,0.000294,1.000000
109.501000,-0.00908,0.00000,2.19000,0.00774,0.00291,0.00036,-0.001426,0.000095,0.000126,0.999999
109.534000,-0.00908,0.00000,2.19000,0.00774,0.00291,0.00036,-0.001426,0.000095,0.000126,0.999999
109.567000,-0.00908,0.00000,2.19000,0.00774,0.00291,0.00036,-0.001426,0.000095,0.000126,0.999999
109.600000,-0.00908,0.00000,2.19000,0.00774,0.00291,0.00036,-0.001426,0.000095,0.000126,0.999999
109.634000,-0.00908,0.00000,2.19000,0.00774,0.00291,0.00036,-0.001426,0.000095,0.000126,0.999999
109.667000,-0.00908,0.00000,2.19000,0.00774,0.00291,0.00036,-0.001426,0.000095,0.000126,0.999999
109.700000,-0.00908,0.00000,2.19000,0.00774,0.00291,0.00036,-0.001426,0.000095,0.000126,0.999999
109.735000,0.00000,0.00000,2.19000,0.00771,-0.00036,-0.00589,0.002412,-0.000465,0.000253,0.999997
109.767000,0.00000,0.00000,2.19000,0.00771,-0.00036,-0.00589,0.002412,-0.000465,0.000253,0.999997
109.800000,0.00000,0.00000,2.19000,0.00771,-0.00036,-0.00589,0.002412,-0.000465,0.000253,0.999997
109.834000,0.00000,0.00000,2.19000,0.00771,-0.00036,-0.00589,0.002412,-0.000465,0.000253,0.999997
109.867000,0.00000,0.00000,2.19000,0.00771,-0.00036,-0.00589,0.002412,-0.000465,0.000253,0.999997
109.900000,0.00000,0.00000,2.19000,0.00771,-0.00036,-0.00589,0.002412,-0.000465,0.000253,0.999997
109.934000,0.00000,0.00000,2.19000,0.00771,-0.00036,-0.00589,0.002412,-0.000465,0.000253,0.999997
109.967000,0.00000,0.00000,2.19000,0.00771,-0.00036,-0.00589,0.002412,-0.000465,0.000253,0.999997
110.001000,0.00000,0.00000,2.19000,0.00386,0.00032,-0.00518,-0.002870,-0.000809,0.000063,0.999996
110.034000,0.00000,0.00000,2.19000,0.00386,0.00032,-0.00518,-0.002870,-0.000809,0.000063,0.999996
110.067000,0.00000,0.00000,2.19000,0.00386,0.00032,-0.00518,-0.002870,-0.000809,0.000063,0.999996
110.100000,0.00000,0.00000,2.19000,0.00386,0.00032,-0.00518,-0.002870,-0.000809,0.000063,0.999996
110.134000,0.00000,0.00000,2.19000,0.00386,0.00032,-0.00518,-0.002870,-0.000809,0.000063,0.999996
110.167000,0.00000,0.00000,2.19000,0.00386,0.00032,-0.00518,-0.002870,-0.000809,0.000063,0.999996
110.200000,0.00000,0.00000,2.19000,0.00386,0.00032,-0.00518,-0.002870,-0.000809,0.000063,0.999996
110.235000,0.00000,0.00000,2.19000,0.00082,-0.00002,-0.00461,0.002788,-0.000413,0.000215,0.999996
110.267000,0.00000,0.00000,2.19000,0.00082,-0.00002,-0.00461,0.002788,-0.000413,0.000215,0.999996
110.300000,0.00000,0.00000,2.19000,0.00082,-0.00002,-0.00461,0.002788,-0.000413,0.000215,0.999996
110.334000,0.00000,0.00000,2.19000,0.00082,-0.00002,-0.00461,0.002788,-0.000413,0.000215,0.999996
110.367000,0.00000,0.00000,2.19000,0.00082,-0.00002,-0.00461,0.002788,-0.000413,0.000215,0.999996
110.400000,0.00000,0.00000,2.19000,0.00082,-0.00002,-0.00461,0.002788,-0.000413,0.000215,0.999996
